previous_quantile,n,previous_mean,next_mean,next_median,target_q_now,source,model_tag
2,2926,0.9261165661326249,2.064324826057697,0.5470990833861378,0,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p
3,2926,1.7744744071353271,2.292515239804987,0.6619117921605995,0,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p
4,2926,2.6729778112783213,2.18364907230962,0.5461384936768612,0,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p
5,2926,3.8979244479006967,2.3198610459035214,0.4811700988299057,0,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p
6,2927,6.940649955449221,2.1547063179536194,0.5262926004464475,0,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p
1,201,0.27069043403255666,4.00277333746041,3.3697770746336086,5,Empirical,empirical
2,194,1.7104016179921677,4.607203077519188,4.353094199477136,5,Empirical,empirical
3,179,2.6007648140812636,4.987700204695049,4.6144047052993615,5,Empirical,empirical
4,202,3.480610287955097,4.638822644655769,4.493036099511478,5,Empirical,empirical
5,203,4.587415302331151,5.040955664976244,4.493036099511478,5,Empirical,empirical
6,184,5.3227054610117985,5.737632377759038,4.9262058302767695,5,Empirical,empirical
7,175,6.338103772533989,6.055221603009667,5.084821644986893,5,Empirical,empirical
8,202,7.670876541018979,6.249112306318815,5.988513030183942,5,Empirical,empirical
9,181,9.318383549286143,6.288960911914042,5.616295124389348,5,Empirical,empirical
10,191,13.956149154133316,8.70001478010122,8.681894503351716,5,Empirical,empirical
1,1582,0.702808498791362,5.740719791383561,4.722803884165171,5,ARW4,arw4
2,1581,1.9634453279690325,5.790574955179042,4.659731719020281,5,ARW4,arw4
3,1581,3.026653675438084,5.546887253936772,4.440945669824391,5,ARW4,arw4
4,1582,3.9948206140618345,5.606273936228038,4.564490295977917,5,ARW4,arw4
5,1581,4.871817145245396,5.621274425977155,4.686235917259992,5,ARW4,arw4
6,1581,5.728057241068357,5.614205618101466,4.578117724966252,5,ARW4,arw4
7,1582,6.573016370888629,5.462966937813117,4.538292312361206,5,ARW4,arw4
8,1581,7.544762918755021,5.676579328263738,4.727949047233406,5,ARW4,arw4
9,1581,8.94809086714044,5.45180784557245,4.5356201479435745,5,ARW4,arw4
10,1582,12.536673103409104,5.743459223781244,4.656847875083085,5,ARW4,arw4
1,1026,2.1976406398526547,5.671766176809656,4.940531981765289,5,Unfitted-GRW,unfitted_grw
2,1025,2.9976814285571622,5.684687921235509,5.068511579864312,5,Unfitted-GRW,unfitted_grw
