starting_decile,n,median_signed,median_absolute,signed_q10,signed_q90,absolute_q10,absolute_q90,source,model_tag,reference_year,target_year
10,1000,-0.42969999999999997,0.42969999999999997,-0.85124,-0.03382999999999992,0.04633999999999999,0.85124,AR(1)-GRW-S,ar1_s,0,10
1,1000,0.47264999999999996,0.47264999999999996,0.06910000000000002,0.8532200000000001,0.07237,0.8532200000000001,AR(1)-GRW-S,ar1_s,0,20
2,1000,0.35214999999999996,0.35214999999999996,-0.04691999999999999,0.75155,0.050489999999999986,0.75155,AR(1)-GRW-S,ar1_s,0,20
3,1000,0.25689999999999996,0.26272500000000004,-0.15141,0.63895,0.05707000000000001,0.63895,AR(1)-GRW-S,ar1_s,0,20
4,1000,0.12840000000000001,0.22985,-0.23891999999999997,0.5434100000000002,0.043090000000000024,0.5434100000000002,AR(1)-GRW-S,ar1_s,0,20
5,1000,0.02460000000000001,0.24054999999999996,-0.34853999999999996,0.44336,0.053380000000000004,0.44637,AR(1)-GRW-S,ar1_s,0,20
6,1000,-0.030950000000000005,0.24965,-0.45586,0.35591,0.04597999999999994,0.46081,AR(1)-GRW-S,ar1_s,0,20
7,1000,-0.15075,0.2585,-0.55434,0.25168000000000007,0.04278000000000006,0.55434,AR(1)-GRW-S,ar1_s,0,20
8,1000,-0.24330000000000002,0.24819999999999998,-0.65302,0.1595,0.06357,0.65302,AR(1)-GRW-S,ar1_s,0,20
9,1000,-0.33369999999999994,0.33369999999999994,-0.7514299999999999,0.04392999999999994,0.04527,0.7514299999999999,AR(1)-GRW-S,ar1_s,0,20
10,1000,-0.46695,0.46695,-0.86804,-0.03682999999999999,0.04772999999999997,0.86804,AR(1)-GRW-S,ar1_s,0,20
1,1000,0.3396,0.3396,0.019299999999999998,0.78227,0.03807000000000001,0.78227,AR(1)-GRW-S,ar1_s,1,4
2,1000,0.31715,0.31715,-0.05812999999999998,0.7265799999999999,0.04268000000000002,0.7265799999999999,AR(1)-GRW-S,ar1_s,1,4
3,1000,0.20210000000000003,0.21845,-0.15204,0.639,0.038349999999999995,0.639,AR(1)-GRW-S,ar1_s,1,4
4,1000,0.14235,0.23865,-0.24911999999999998,0.5383600000000001,0.054649999999999976,0.5383600000000001,AR(1)-GRW-S,ar1_s,1,4
5,1000,0.04485,0.24795000000000003,-0.35621,0.4526,0.04356000000000003,0.46393,AR(1)-GRW-S,ar1_s,1,4
6,1000,-0.034450000000000036,0.24524999999999997,-0.45008,0.34340000000000004,0.05517000000000003,0.45439999999999997,AR(1)-GRW-S,ar1_s,1,4
7,1000,-0.129,0.2451,-0.5440200000000001,0.2594700000000001,0.046090000000000034,0.5440200000000001,AR(1)-GRW-S,ar1_s,1,4
8,1000,-0.22004999999999997,0.23909999999999998,-0.63856,0.1677100000000001,0.054860000000000055,0.6385600000000001,AR(1)-GRW-S,ar1_s,1,4
