source,source_type,model_tag,window,corr,n,log_mean,log_sd
Hurdle-AR(1)-GRW-S,simulated,hurdle_ar1_s,"Full career, 0-20",0.999040205329358,50000,6.872977441892563,0.6157597242506827
Data (CS),empirical,hurdle_ar1_s,Stage 0,0.9781894421005022,363,2.4195359441785187,0.8730148794719607
Hurdle-AR(1)-GRW-S,simulated,hurdle_ar1_s,Stage 0,0.96782691450217,40827,1.6497218722670406,1.8515306145022712
Data (CS),empirical,hurdle_ar1_s,Stage 1-4,0.9879959626348181,497,4.521394424345055,1.124840438107774
Hurdle-AR(1)-GRW-S,simulated,hurdle_ar1_s,Stage 1-4,0.9738486148978227,49741,4.310996936879094,1.1916061101330255
Data (CS),empirical,hurdle_ar1_s,Stage 5-7,0.9911160956823608,500,4.197021893047015,1.1159804871625059
Hurdle-AR(1)-GRW-S,simulated,hurdle_ar1_s,Stage 5-7,0.9740907212754875,49504,3.9612814492237796,1.2414394468011176
Data (CS),empirical,hurdle_ar1_s,Stage 8-20,0.9909949189535822,509,6.158665439170955,1.1805459475314493
Hurdle-AR(1)-GRW-S,simulated,hurdle_ar1_s,Stage 8-20,0.995670864676202,49998,6.044877648569399,0.80933991638582
Data (CS),empirical,hurdle_ar1_s_p,Last four observed / 17-20,0.9876000511117649,1872,4.123854456307525,1.344266110585815
Hurdle-AR(1)-GRW-S-P,simulated,hurdle_ar1_s_p,Last four observed / 17-20,0.972722859214338,49276,4.051774735595304,1.4989216517988218
Data (CS),empirical,hurdle_ar1_s_p,"Full career, 0-20",0.9959445310568338,510,6.927062953561247,1.0148331193805715
Hurdle-AR(1)-GRW-S-P,simulated,hurdle_ar1_s_p,"Full career, 0-20",0.9945343821583421,50000,6.918628884362073,0.7123242065723674
Data (CS),empirical,hurdle_ar1_s_p,Stage 0,0.9781894421005022,363,2.4195359441785187,0.8730148794719607
Hurdle-AR(1)-GRW-S-P,simulated,hurdle_ar1_s_p,Stage 0,0.9706233043715417,40889,1.6237015910039223,1.8634161811619967
Data (CS),empirical,hurdle_ar1_s_p,Stage 1-4,0.9879959626348181,497,4.521394424345055,1.124840438107774
