year,n,intercept,beta,sigma_resid,var_resid,implied_stationary_mean_log,implied_stationary_var_log,mean_resid,sd_resid,persistence,model_tag,model,stage,transition_year_start,transition_year_end,spectral_radius,is_stationary,beta_1,beta_2,beta_3
1,6596,0.8750653132630535,0.5519703364005005,0.6240094097240136,0.3893877434241119,1.953141464412695,0.560005241683347,,,0.5519703364005005,hurdle_ar1_s_p,Hurdle-AR(1)-GRW-S-P,1-4,1.0,4.0,0.5519703364005005,True,,,
2,6596,0.8750653132630535,0.5519703364005005,0.6240094097240136,0.3893877434241119,1.953141464412695,0.560005241683347,,,0.5519703364005005,hurdle_ar1_s_p,Hurdle-AR(1)-GRW-S-P,1-4,1.0,4.0,0.5519703364005005,True,,,
3,6596,0.8750653132630535,0.5519703364005005,0.6240094097240136,0.3893877434241119,1.953141464412695,0.560005241683347,,,0.5519703364005005,hurdle_ar1_s_p,Hurdle-AR(1)-GRW-S-P,1-4,1.0,4.0,0.5519703364005005,True,,,
4,6596,0.8750653132630535,0.5519703364005005,0.6240094097240136,0.3893877434241119,1.953141464412695,0.560005241683347,,,0.5519703364005005,hurdle_ar1_s_p,Hurdle-AR(1)-GRW-S-P,1-4,1.0,4.0,0.5519703364005005,True,,,
5,4292,0.7186865578929028,0.5869394104725477,0.6281908553523107,0.3946237507482676,1.7399059027032604,0.6020174971680777,,,0.5869394104725477,hurdle_ar1_s_p,Hurdle-AR(1)-GRW-S-P,5-7,5.0,7.0,0.5869394104725477,True,,,
6,4292,0.7186865578929028,0.5869394104725477,0.6281908553523107,0.3946237507482676,1.7399059027032604,0.6020174971680777,,,0.5869394104725477,hurdle_ar1_s_p,Hurdle-AR(1)-GRW-S-P,5-7,5.0,7.0,0.5869394104725477,True,,,
7,4292,0.7186865578929028,0.5869394104725477,0.6281908553523107,0.3946237507482676,1.7399059027032604,0.6020174971680777,,,0.5869394104725477,hurdle_ar1_s_p,Hurdle-AR(1)-GRW-S-P,5-7,5.0,7.0,0.5869394104725477,True,,,
8,9545,0.6190496299172566,0.6332174627423998,0.6433899977348287,0.4139506891852229,1.6877838147525632,0.6910284767269146,,,0.6332174627423998,hurdle_ar1_s_p,Hurdle-AR(1)-GRW-S-P,8-20,8.0,19.0,0.6332174627423998,True,,,
9,9545,0.6190496299172566,0.6332174627423998,0.6433899977348287,0.4139506891852229,1.6877838147525632,0.6910284767269146,,,0.6332174627423998,hurdle_ar1_s_p,Hurdle-AR(1)-GRW-S-P,8-20,8.0,19.0,0.6332174627423998,True,,,
10,9545,0.6190496299172566,0.6332174627423998,0.6433899977348287,0.4139506891852229,1.6877838147525632,0.6910284767269146,,,0.6332174627423998,hurdle_ar1_s_p,Hurdle-AR(1)-GRW-S-P,8-20,8.0,19.0,0.6332174627423998,True,,,
