source,model_tag,reference_year,target_year,starting_decile,ending_decile,probability
Empirical,empirical,0,10,4,3,0.0
Empirical,empirical,0,10,4,4,0.18
Empirical,empirical,0,10,4,5,0.06
Empirical,empirical,0,10,4,6,0.1
Empirical,empirical,0,10,4,7,0.16
Empirical,empirical,0,10,4,8,0.1
Empirical,empirical,0,10,4,9,0.02
Empirical,empirical,0,10,4,10,0.06
Empirical,empirical,0,10,5,1,0.12
Empirical,empirical,0,10,5,2,0.1
Empirical,empirical,0,10,5,3,0.08
Empirical,empirical,0,10,5,4,0.1
Empirical,empirical,0,10,5,5,0.08
Empirical,empirical,0,10,5,6,0.06
Empirical,empirical,0,10,5,7,0.14
Empirical,empirical,0,10,5,8,0.18
Empirical,empirical,0,10,5,9,0.1
Empirical,empirical,0,10,5,10,0.04
Empirical,empirical,0,10,6,1,0.10869565217391304
Empirical,empirical,0,10,6,2,0.0
Empirical,empirical,0,10,6,3,0.13043478260869565
Empirical,empirical,0,10,6,4,0.06521739130434782
Empirical,empirical,0,10,6,5,0.021739130434782608
Empirical,empirical,0,10,6,6,0.2391304347826087
Empirical,empirical,0,10,6,7,0.06521739130434782
Empirical,empirical,0,10,6,8,0.08695652173913043
Empirical,empirical,0,10,6,9,0.15217391304347827
Empirical,empirical,0,10,6,10,0.13043478260869565
Empirical,empirical,0,10,7,1,0.061224489795918366
Empirical,empirical,0,10,7,2,0.14285714285714285
Empirical,empirical,0,10,7,3,0.0
Empirical,empirical,0,10,7,4,0.16326530612244897
Empirical,empirical,0,10,7,5,0.08163265306122448
Empirical,empirical,0,10,7,6,0.12244897959183673
Empirical,empirical,0,10,7,7,0.12244897959183673
Empirical,empirical,0,10,7,8,0.1836734693877551
Empirical,empirical,0,10,7,9,0.04081632653061224
Empirical,empirical,0,10,7,10,0.08163265306122448
Empirical,empirical,0,10,8,1,0.12727272727272726
Empirical,empirical,0,10,8,2,0.09090909090909091
Empirical,empirical,0,10,8,3,0.03636363636363636
Empirical,empirical,0,10,8,4,0.07272727272727272
Empirical,empirical,0,10,8,5,0.10909090909090909
Empirical,empirical,0,10,8,6,0.09090909090909091
Empirical,empirical,0,10,8,7,0.10909090909090909
Empirical,empirical,0,10,8,8,0.09090909090909091
Empirical,empirical,0,10,8,9,0.10909090909090909
Empirical,empirical,0,10,8,10,0.16363636363636364
Empirical,empirical,0,10,9,1,0.17647058823529413
Empirical,empirical,0,10,9,2,0.058823529411764705
Empirical,empirical,0,10,9,3,0.17647058823529413
Empirical,empirical,0,10,9,4,0.0392156862745098
Empirical,empirical,0,10,9,5,0.058823529411764705
Empirical,empirical,0,10,9,6,0.0392156862745098
Empirical,empirical,0,10,9,7,0.13725490196078433
Empirical,empirical,0,10,9,8,0.058823529411764705
Empirical,empirical,0,10,9,9,0.09803921568627451
Empirical,empirical,0,10,9,10,0.1568627450980392
Empirical,empirical,0,10,10,1,0.0
Empirical,empirical,0,10,10,2,0.0196078431372549
Empirical,empirical,0,10,10,3,0.09803921568627451
Empirical,empirical,0,10,10,4,0.0392156862745098
Empirical,empirical,0,10,10,5,0.11764705882352941
Empirical,empirical,0,10,10,6,0.0784313725490196
Empirical,empirical,0,10,10,7,0.09803921568627451
Empirical,empirical,0,10,10,8,0.11764705882352941
Empirical,empirical,0,10,10,9,0.19607843137254902
Empirical,empirical,0,10,10,10,0.23529411764705882
AR(1)-GRW-S,ar1_s,0,10,1,1,0.099
AR(1)-GRW-S,ar1_s,0,10,1,2,0.096
AR(1)-GRW-S,ar1_s,0,10,1,3,0.094
AR(1)-GRW-S,ar1_s,0,10,1,4,0.117
AR(1)-GRW-S,ar1_s,0,10,1,5,0.096
AR(1)-GRW-S,ar1_s,0,10,1,6,0.102
AR(1)-GRW-S,ar1_s,0,10,1,7,0.097
AR(1)-GRW-S,ar1_s,0,10,1,8,0.102
AR(1)-GRW-S,ar1_s,0,10,1,9,0.101
AR(1)-GRW-S,ar1_s,0,10,1,10,0.096
AR(1)-GRW-S,ar1_s,0,10,2,1,0.097
AR(1)-GRW-S,ar1_s,0,10,2,2,0.089
AR(1)-GRW-S,ar1_s,0,10,2,3,0.104
AR(1)-GRW-S,ar1_s,0,10,2,4,0.091
AR(1)-GRW-S,ar1_s,0,10,2,5,0.112
AR(1)-GRW-S,ar1_s,0,10,2,6,0.101
AR(1)-GRW-S,ar1_s,0,10,2,7,0.1
AR(1)-GRW-S,ar1_s,0,10,2,8,0.091
AR(1)-GRW-S,ar1_s,0,10,2,9,0.108
AR(1)-GRW-S,ar1_s,0,10,2,10,0.107
AR(1)-GRW-S,ar1_s,0,10,3,1,0.106
AR(1)-GRW-S,ar1_s,0,10,3,2,0.1
AR(1)-GRW-S,ar1_s,0,10,3,3,0.087
AR(1)-GRW-S,ar1_s,0,10,3,4,0.108
AR(1)-GRW-S,ar1_s,0,10,3,5,0.096
AR(1)-GRW-S,ar1_s,0,10,3,6,0.098
AR(1)-GRW-S,ar1_s,0,10,3,7,0.114
AR(1)-GRW-S,ar1_s,0,10,3,8,0.108
AR(1)-GRW-S,ar1_s,0,10,3,9,0.09
AR(1)-GRW-S,ar1_s,0,10,3,10,0.093
AR(1)-GRW-S,ar1_s,0,10,4,1,0.097
AR(1)-GRW-S,ar1_s,0,10,4,2,0.101
AR(1)-GRW-S,ar1_s,0,10,4,3,0.103
AR(1)-GRW-S,ar1_s,0,10,4,4,0.098
AR(1)-GRW-S,ar1_s,0,10,4,5,0.109
AR(1)-GRW-S,ar1_s,0,10,4,6,0.085
AR(1)-GRW-S,ar1_s,0,10,4,7,0.09
AR(1)-GRW-S,ar1_s,0,10,4,8,0.106
AR(1)-GRW-S,ar1_s,0,10,4,9,0.104
AR(1)-GRW-S,ar1_s,0,10,4,10,0.107
AR(1)-GRW-S,ar1_s,0,10,5,1,0.108
AR(1)-GRW-S,ar1_s,0,10,5,2,0.104
AR(1)-GRW-S,ar1_s,0,10,5,3,0.098
AR(1)-GRW-S,ar1_s,0,10,5,4,0.096
AR(1)-GRW-S,ar1_s,0,10,5,5,0.081
AR(1)-GRW-S,ar1_s,0,10,5,6,0.108
AR(1)-GRW-S,ar1_s,0,10,5,7,0.102
AR(1)-GRW-S,ar1_s,0,10,5,8,0.093
AR(1)-GRW-S,ar1_s,0,10,5,9,0.108
AR(1)-GRW-S,ar1_s,0,10,5,10,0.102
AR(1)-GRW-S,ar1_s,0,10,6,1,0.1
AR(1)-GRW-S,ar1_s,0,10,6,2,0.098
AR(1)-GRW-S,ar1_s,0,10,6,3,0.096
AR(1)-GRW-S,ar1_s,0,10,6,4,0.089
AR(1)-GRW-S,ar1_s,0,10,6,5,0.109
AR(1)-GRW-S,ar1_s,0,10,6,6,0.111
AR(1)-GRW-S,ar1_s,0,10,6,7,0.107
AR(1)-GRW-S,ar1_s,0,10,6,8,0.098
AR(1)-GRW-S,ar1_s,0,10,6,9,0.102
AR(1)-GRW-S,ar1_s,0,10,6,10,0.09
AR(1)-GRW-S,ar1_s,0,10,7,1,0.089
AR(1)-GRW-S,ar1_s,0,10,7,2,0.102
AR(1)-GRW-S,ar1_s,0,10,7,3,0.099
AR(1)-GRW-S,ar1_s,0,10,7,4,0.107
AR(1)-GRW-S,ar1_s,0,10,7,5,0.117
AR(1)-GRW-S,ar1_s,0,10,7,6,0.099
AR(1)-GRW-S,ar1_s,0,10,7,7,0.1
AR(1)-GRW-S,ar1_s,0,10,7,8,0.096
AR(1)-GRW-S,ar1_s,0,10,7,9,0.099
AR(1)-GRW-S,ar1_s,0,10,7,10,0.092
AR(1)-GRW-S,ar1_s,0,10,8,1,0.111
AR(1)-GRW-S,ar1_s,0,10,8,2,0.1
AR(1)-GRW-S,ar1_s,0,10,8,3,0.118
AR(1)-GRW-S,ar1_s,0,10,8,4,0.111
AR(1)-GRW-S,ar1_s,0,10,8,5,0.093
AR(1)-GRW-S,ar1_s,0,10,8,6,0.104
AR(1)-GRW-S,ar1_s,0,10,8,7,0.087
AR(1)-GRW-S,ar1_s,0,10,8,8,0.11
AR(1)-GRW-S,ar1_s,0,10,8,9,0.081
AR(1)-GRW-S,ar1_s,0,10,8,10,0.085
AR(1)-GRW-S,ar1_s,0,10,9,1,0.095
AR(1)-GRW-S,ar1_s,0,10,9,2,0.108
AR(1)-GRW-S,ar1_s,0,10,9,3,0.091
AR(1)-GRW-S,ar1_s,0,10,9,4,0.103
AR(1)-GRW-S,ar1_s,0,10,9,5,0.096
AR(1)-GRW-S,ar1_s,0,10,9,6,0.096
AR(1)-GRW-S,ar1_s,0,10,9,7,0.106
AR(1)-GRW-S,ar1_s,0,10,9,8,0.095
AR(1)-GRW-S,ar1_s,0,10,9,9,0.103
AR(1)-GRW-S,ar1_s,0,10,9,10,0.107
AR(1)-GRW-S,ar1_s,0,10,10,1,0.098
AR(1)-GRW-S,ar1_s,0,10,10,2,0.102
AR(1)-GRW-S,ar1_s,0,10,10,3,0.11
AR(1)-GRW-S,ar1_s,0,10,10,4,0.08
AR(1)-GRW-S,ar1_s,0,10,10,5,0.091
AR(1)-GRW-S,ar1_s,0,10,10,6,0.096
AR(1)-GRW-S,ar1_s,0,10,10,7,0.097
AR(1)-GRW-S,ar1_s,0,10,10,8,0.101
AR(1)-GRW-S,ar1_s,0,10,10,9,0.104
AR(1)-GRW-S,ar1_s,0,10,10,10,0.121
Empirical,empirical,0,20,1,1,
Empirical,empirical,0,20,1,2,
Empirical,empirical,0,20,1,3,
Empirical,empirical,0,20,1,4,
Empirical,empirical,0,20,1,5,
Empirical,empirical,0,20,1,6,
Empirical,empirical,0,20,1,7,
Empirical,empirical,0,20,1,8,
Empirical,empirical,0,20,1,9,
Empirical,empirical,0,20,1,10,
Empirical,empirical,0,20,2,1,0.19727891156462585
Empirical,empirical,0,20,2,2,0.04081632653061224
Empirical,empirical,0,20,2,3,0.14285714285714285
Empirical,empirical,0,20,2,4,0.12244897959183673
Empirical,empirical,0,20,2,5,0.10884353741496598
Empirical,empirical,0,20,2,6,0.10204081632653061
Empirical,empirical,0,20,2,7,0.07482993197278912
Empirical,empirical,0,20,2,8,0.06802721088435375
Empirical,empirical,0,20,2,9,0.07482993197278912
Empirical,empirical,0,20,2,10,0.06802721088435375
Empirical,empirical,0,20,3,1,0.18181818181818182
Empirical,empirical,0,20,3,2,0.0
Empirical,empirical,0,20,3,3,0.09090909090909091
Empirical,empirical,0,20,3,4,0.0
Empirical,empirical,0,20,3,5,0.18181818181818182
Empirical,empirical,0,20,3,6,0.0
Empirical,empirical,0,20,3,7,0.36363636363636365
Empirical,empirical,0,20,3,8,0.0
Empirical,empirical,0,20,3,9,0.09090909090909091
Empirical,empirical,0,20,3,10,0.09090909090909091
Empirical,empirical,0,20,4,1,0.12
Empirical,empirical,0,20,4,2,0.08
Empirical,empirical,0,20,4,3,0.06
Empirical,empirical,0,20,4,4,0.1
Empirical,empirical,0,20,4,5,0.1
Empirical,empirical,0,20,4,6,0.14
Empirical,empirical,0,20,4,7,0.1
Empirical,empirical,0,20,4,8,0.1
Empirical,empirical,0,20,4,9,0.1
Empirical,empirical,0,20,4,10,0.1
Empirical,empirical,0,20,5,1,0.12
Empirical,empirical,0,20,5,2,0.0
Empirical,empirical,0,20,5,3,0.18
Empirical,empirical,0,20,5,4,0.16
Empirical,empirical,0,20,5,5,0.04
Empirical,empirical,0,20,5,6,0.08
Empirical,empirical,0,20,5,7,0.16
Empirical,empirical,0,20,5,8,0.14
Empirical,empirical,0,20,5,9,0.06
Empirical,empirical,0,20,5,10,0.06
Empirical,empirical,0,20,6,1,0.043478260869565216
Empirical,empirical,0,20,6,2,0.021739130434782608
Empirical,empirical,0,20,6,3,0.15217391304347827
Empirical,empirical,0,20,6,4,0.10869565217391304
Empirical,empirical,0,20,6,5,0.06521739130434782
Empirical,empirical,0,20,6,6,0.1956521739130435
Empirical,empirical,0,20,6,7,0.021739130434782608
Empirical,empirical,0,20,6,8,0.10869565217391304
Empirical,empirical,0,20,6,9,0.13043478260869565
Empirical,empirical,0,20,6,10,0.15217391304347827
Empirical,empirical,0,20,7,1,0.10204081632653061
Empirical,empirical,0,20,7,2,0.20408163265306123
Empirical,empirical,0,20,7,3,0.02040816326530612
Empirical,empirical,0,20,7,4,0.10204081632653061
Empirical,empirical,0,20,7,5,0.22448979591836735
Empirical,empirical,0,20,7,6,0.04081632653061224
Empirical,empirical,0,20,7,7,0.061224489795918366
Empirical,empirical,0,20,7,8,0.08163265306122448
Empirical,empirical,0,20,7,9,0.08163265306122448
Empirical,empirical,0,20,7,10,0.08163265306122448
Empirical,empirical,0,20,8,1,0.2
Empirical,empirical,0,20,8,2,0.05454545454545454
