source,model_tag,trajectory_index,year,productivity
Empirical,empirical,103,14,0.0
Empirical,empirical,103,15,12.154652304692402
Empirical,empirical,103,16,10.036856807076315
Empirical,empirical,103,17,11.289141518176624
Empirical,empirical,103,18,7.779490371043831
Empirical,empirical,103,19,22.531014311048768
Empirical,empirical,103,20,18.863408197734255
Empirical,empirical,129,0,7.622073102180838
Empirical,empirical,129,1,7.200019461162331
Empirical,empirical,129,2,10.22004238204524
Empirical,empirical,129,3,3.2290636986567964
Empirical,empirical,129,4,12.2618015260278
Empirical,empirical,129,5,5.828728802528235
Empirical,empirical,129,6,11.098094001649322
Empirical,empirical,129,7,0.0
Empirical,empirical,129,8,2.524241630437853
Empirical,empirical,129,9,9.647837804072156
Empirical,empirical,129,10,2.3072023526496808
Empirical,empirical,129,11,6.6278912923482185
Empirical,empirical,129,12,6.352936743250421
Empirical,empirical,129,13,6.095144466483397
Empirical,empirical,129,14,5.853085487032883
Empirical,empirical,129,15,3.7503194820633063
Empirical,empirical,129,16,5.411175082295543
Empirical,empirical,129,17,3.4727578013406863
Empirical,empirical,129,18,3.3456189356921056
Empirical,empirical,129,19,3.2254690051933212
Empirical,empirical,129,20,6.223592296835065
Empirical,empirical,73,0,4.823918902036079
Empirical,empirical,73,1,6.921607057949043
Empirical,empirical,73,2,6.6278912923482185
Empirical,empirical,73,3,4.235291162166948
Empirical,empirical,73,4,6.095144466483397
Empirical,empirical,73,5,0.0
Empirical,empirical,73,6,1.8751597410316532
Empirical,empirical,73,7,0.0
Empirical,empirical,73,8,5.20913670201103
Empirical,empirical,73,9,0.0
Empirical,empirical,73,10,3.2254690051933212
Empirical,empirical,73,11,0.0
Empirical,empirical,73,12,0.0
Empirical,empirical,73,13,0.0
Empirical,empirical,73,14,2.805192523944833
Empirical,empirical,73,15,6.782928499820651
Empirical,empirical,73,16,1.312838135644996
Empirical,empirical,73,17,0.0
Empirical,empirical,73,18,7.389308745415154
Empirical,empirical,73,19,3.581253346452926
Empirical,empirical,73,20,2.315378181458927
Empirical,empirical,234,0,0.0
Empirical,empirical,234,1,6.6278912923482185
Empirical,empirical,234,2,8.470582324333895
Empirical,empirical,234,3,12.190288932966794
Empirical,empirical,234,4,13.657199469743391
Empirical,empirical,234,5,5.62547922309496
Empirical,empirical,234,6,5.411175082295543
Empirical,empirical,234,7,17.36378900670343
Empirical,empirical,234,8,6.691237871384211
Empirical,empirical,234,9,9.676407015579963
Empirical,empirical,234,10,7.779490371043831
Empirical,empirical,234,11,10.514473345156093
Empirical,empirical,234,12,7.255156999128559
Empirical,empirical,234,13,9.818173833806917
Empirical,empirical,234,14,6.782928499820651
Empirical,empirical,234,15,2.625676271289992
Empirical,empirical,234,16,8.898437878727062
Empirical,empirical,234,17,8.620860202984346
Empirical,empirical,234,18,9.55000892387447
Empirical,empirical,234,19,2.315378181458927
Empirical,empirical,234,20,6.739554149267217
ARW4,arw4,1604,0,0.1652147713004531
ARW4,arw4,1604,1,5.523856998929385
ARW4,arw4,1604,2,10.538370273124798
ARW4,arw4,1604,3,5.9485601377568855
ARW4,arw4,1604,4,2.223046878498827
ARW4,arw4,1604,5,2.934809972712843
ARW4,arw4,1604,6,2.8942222268631173
ARW4,arw4,1604,7,4.344977202395098
ARW4,arw4,1604,8,16.28195803125315
ARW4,arw4,1604,9,8.21744922154615
ARW4,arw4,1604,10,3.6311199317052605
ARW4,arw4,1604,11,2.5685227141496942
ARW4,arw4,1604,12,2.7416575269286128
ARW4,arw4,1604,13,3.603003424156963
ARW4,arw4,1604,14,2.978176052155673
ARW4,arw4,1604,15,5.12891678775477
ARW4,arw4,1604,16,0.11287564690751495
ARW4,arw4,1604,17,0.4676162123419453
ARW4,arw4,1604,18,8.777087302090516
ARW4,arw4,1604,19,9.161696526322848
ARW4,arw4,1604,20,11.03655438340994
ARW4,arw4,774,0,0.531411391972163
ARW4,arw4,774,1,2.0728849082914422
ARW4,arw4,774,2,3.3043359789567783
ARW4,arw4,774,3,0.5639921961585723
ARW4,arw4,774,4,5.346597902607927
ARW4,arw4,774,5,4.072177589280458
ARW4,arw4,774,6,8.322755052314216
ARW4,arw4,774,7,3.2683337091003994
ARW4,arw4,774,8,10.314391942436563
ARW4,arw4,774,9,14.325118431599485
ARW4,arw4,774,10,9.936662027074
ARW4,arw4,774,11,2.295019808816175
ARW4,arw4,774,12,0.4034346933869444
ARW4,arw4,774,13,4.5247098906346315
ARW4,arw4,774,14,6.613280838990974
ARW4,arw4,774,15,5.124705008982089
