q_bin,dropout_count,dropout_probability,n,q_mean,low,high,model,stage
3,128,0.1924812030075188,665,3.868114139050224,0.16431640448405815,0.2241785695127746,SE-Hurdle-S,0
4,102,0.17114093959731544,596,4.863211613113483,0.14303275454209755,0.20346138657782478,SE-Hurdle-S,0
5,96,0.1663778162911612,577,5.5796816031915535,0.13821684362500886,0.19895184401719862,SE-Hurdle-S,0
6,74,0.11419753086419752,648,6.571884245911672,0.09194919149161433,0.1409932902401438,SE-Hurdle-S,0
7,59,0.09305993690851735,634,8.459836212693382,0.07283199227401052,0.11818972847922979,SE-Hurdle-S,0
8,47,0.08703703703703704,540,10.488037070714054,0.0660833995004467,0.11382486790682778,SE-Hurdle-S,0
9,32,0.05063291139240506,632,17.64924353160646,0.036091181913614094,0.07060457375886786,SE-Hurdle-S,0
0,192,0.24774193548387097,775,2.4300212508158925,0.21864167894034037,0.2793306943894868,SE-Hurdle-T5,0
1,167,0.2864493996569468,583,2.848328420306329,0.25124163573179203,0.3244530662116284,SE-Hurdle-T5,0
2,118,0.2260536398467433,522,3.1287845687907616,0.19224788358622832,0.2638620932585097,SE-Hurdle-T5,0
3,138,0.21263482280431434,649,3.868114139050224,0.18289273276386475,0.24575887277107666,SE-Hurdle-T5,0
4,82,0.13851351351351351,592,4.863211613113483,0.11300930491515798,0.16867898271027804,SE-Hurdle-T5,0
5,75,0.12931034482758622,580,5.5796816031915535,0.10442232296234505,0.15907654385358588,SE-Hurdle-T5,0
6,100,0.15408320493066255,649,6.571884245911672,0.12834951700781774,0.18388793844845217,SE-Hurdle-T5,0
7,57,0.09628378378378379,592,8.459836212693382,0.07505855251636842,0.12271481543914192,SE-Hurdle-T5,0
8,44,0.0842911877394636,522,10.488037070714054,0.06338834700174761,0.11126805142698076,SE-Hurdle-T5,0
9,37,0.05910543130990415,626,17.64924353160646,0.043182053282723204,0.08040711580359944,SE-Hurdle-T5,0
0,38,0.18181818181818182,209,2.301768747884825,0.1354269108330165,0.23969524573787948,Empirical,1-4
1,27,0.1656441717791411,163,2.8341092997651485,0.11640845090996538,0.2302772677597189,Empirical,1-4
2,39,0.20967741935483872,186,3.8401106664998856,0.15734710578165073,0.2737575625313008,Empirical,1-4
3,29,0.145,200,5.100492670665636,0.1028928513530641,0.20048781284894374,Empirical,1-4
4,21,0.11052631578947368,190,6.359314130863995,0.07343524071279467,0.16305475936974695,Empirical,1-4
5,21,0.11731843575418995,179,7.765706777014453,0.07802602846925169,0.1726915325234327,Empirical,1-4
6,22,0.12429378531073447,177,9.229925747711142,0.08353189755399171,0.18101785206114107,Empirical,1-4
7,6,0.03389830508474576,177,11.390046843659675,0.01562653206313348,0.07197278136917412,Empirical,1-4
8,5,0.027472527472527472,182,14.439485826507255,0.01179030844597875,0.06269032452317347,Empirical,1-4
9,2,0.010810810810810811,185,23.009377096803295,0.002969675963139271,0.03855507282102694,Empirical,1-4
0,564,0.11593011305241521,4865,2.301768747884825,0.10723545868870207,0.12523084294657807,Hurdle-AR(5)-S,1-4
1,189,0.10277324632952692,1839,2.8341092997651485,0.08971213363959463,0.1174904821468083,Hurdle-AR(5)-S,1-4
2,530,0.11511728931364032,4604,3.8401106664998856,0.10621705236872325,0.12465928678321286,Hurdle-AR(5)-S,1-4
3,380,0.11196228638774308,3394,5.100492670665636,0.1017894824685776,0.12301252125048921,Hurdle-AR(5)-S,1-4
4,416,0.11834992887624467,3515,6.359314130863995,0.10808541044878127,0.12944775955807553,Hurdle-AR(5)-S,1-4
5,326,0.11515365595196043,2831,7.765706777014453,0.10391288856279336,0.127437462723148,Hurdle-AR(5)-S,1-4
6,302,0.10774170531573314,2803,9.229925747711142,0.09679546250485974,0.11976168129691372,Hurdle-AR(5)-S,1-4
7,312,0.11786928598413299,2647,11.390046843659675,0.1061353166216677,0.13071082310995566,Hurdle-AR(5)-S,1-4
8,273,0.11451342281879194,2384,14.439485826507255,0.10234615255931374,0.12792104774408997,Hurdle-AR(5)-S,1-4
9,291,0.11098398169336385,2622,23.009377096803295,0.0995251098076599,0.12358111259356948,Hurdle-AR(5)-S,1-4
0,665,0.26294978252273626,2529,2.301768747884825,0.2461605700220571,0.280458070480373,SE-Hurdle-S,1-4
1,342,0.20011702750146285,1709,2.8341092997651485,0.18183014317018492,0.21974908050116915,SE-Hurdle-S,1-4
2,818,0.1748610517315092,4678,3.8401106664998856,0.16424384422705876,0.1860118329406609,SE-Hurdle-S,1-4
3,493,0.13014783526927137,3788,5.100492670665636,0.11980641421562108,0.14123866741437105,SE-Hurdle-S,1-4
4,431,0.108948432760364,3956,6.359314130863995,0.09961576287758336,0.11903985203388176,SE-Hurdle-S,1-4
5,270,0.08590518612790328,3143,7.765706777014453,0.07660673305604357,0.09621467619442522,SE-Hurdle-S,1-4
6,225,0.07550335570469799,2980,9.229925747711142,0.06655423565467093,0.08554552728180666,SE-Hurdle-S,1-4
7,178,0.061827023271969435,2879,11.390046843659675,0.053599783186902686,0.07122205926188117,SE-Hurdle-S,1-4
8,125,0.047856049004594184,2612,14.439485826507255,0.04031284185785413,0.05672728473085064,SE-Hurdle-S,1-4
9,72,0.02591792656587473,2778,23.009377096803295,0.020631865409011498,0.0325133604011137,SE-Hurdle-S,1-4
