prior_quantile,n,q_prev_mean,q_next_mean,q_next_median,zero_fraction,q10,q90,model,condition
3,4448,0.18194177333691752,2.3123045599520426,0.6663220667698107,0.4080485611510791,0.0,6.929874141067266,Hurdle-AR(1)-S-P,q_t = 0
4,4448,1.324159365278058,2.2773335031975055,0.5595193408392567,0.41951438848920863,0.0,6.980603869473593,Hurdle-AR(1)-S-P,q_t = 0
5,4448,2.8016815437525224,2.2876456549189057,0.5460475078228422,0.42468525179856115,0.0,7.000195811910276,Hurdle-AR(1)-S-P,q_t = 0
6,4448,6.927648422464167,2.248481363472378,0.5452514632945177,0.4264838129496403,0.0,6.716926811503551,Hurdle-AR(1)-S-P,q_t = 0
1,3085,0.2772996993067907,5.9115510772647655,4.923873493799283,0.07714748784440843,1.4205508505410989,11.43548626447162,Hurdle-AR(1)-S-P,4 ≤ q_t < 6
2,3085,2.0901145197526114,5.715596206826904,4.772079774847709,0.07585089141004862,1.5013999111154703,11.141008514804854,Hurdle-AR(1)-S-P,4 ≤ q_t < 6
3,3085,2.9966072394741716,5.984850518724626,4.863739837066472,0.07423014586709886,1.5847169646328343,11.787885978182137,Hurdle-AR(1)-S-P,4 ≤ q_t < 6
4,3085,3.765877204623631,5.937186580216555,4.866924963138626,0.073257698541329,1.524826011969505,11.76832083745619,Hurdle-AR(1)-S-P,4 ≤ q_t < 6
5,3085,4.564883989526651,6.09013485592472,4.936296088149362,0.073257698541329,1.4306716813454319,11.959524291483174,Hurdle-AR(1)-S-P,4 ≤ q_t < 6
6,3085,5.417687976913019,6.064434205798741,4.882936502325284,0.07098865478119935,1.5793147920251258,11.692799622149963,Hurdle-AR(1)-S-P,4 ≤ q_t < 6
7,3085,6.443230625577757,5.969127539965872,4.860167424558354,0.07390599675850891,1.4969469895537748,11.941140485905724,Hurdle-AR(1)-S-P,4 ≤ q_t < 6
8,3085,7.8304448287635005,5.934713635948267,4.861818152797629,0.06774716369529984,1.5978090298835217,11.617831897318966,Hurdle-AR(1)-S-P,4 ≤ q_t < 6
9,3085,9.990491204572676,5.918509894116354,4.8180378633151495,0.07423014586709886,1.5090132919422943,11.630074432692297,Hurdle-AR(1)-S-P,4 ≤ q_t < 6
10,3085,16.399325229031252,6.109048112665706,5.009941395745359,0.06904376012965964,1.6876000375228029,11.63392898238828,Hurdle-AR(1)-S-P,4 ≤ q_t < 6
1,1261,1.052503662560961,9.430936990784037,7.720420031937427,0.02775574940523394,2.9868760145790487,17.910169198801974,Hurdle-AR(1)-S-P,9 ≤ q_t < 11
2,1260,3.4741122966755036,9.6516781733272,7.882925791869935,0.020634920634920634,3.3802971459693354,18.253758526095805,Hurdle-AR(1)-S-P,9 ≤ q_t < 11
3,1260,4.776089447739591,10.008758692953124,8.09185639054009,0.020634920634920634,3.388066687946424,18.639574078149284,Hurdle-AR(1)-S-P,9 ≤ q_t < 11
4,1260,5.957603759051357,9.659768003170957,7.794801452035422,0.02619047619047619,3.340156766929398,17.8622119710143,Hurdle-AR(1)-S-P,9 ≤ q_t < 11
5,1260,7.1548825701237115,9.937804372178157,8.140352395029907,0.02619047619047619,3.2431132610844133,18.347177991553664,Hurdle-AR(1)-S-P,9 ≤ q_t < 11
6,1260,8.439861451857396,9.159073303545437,7.672804135635301,0.03571428571428571,3.0942391143717094,17.171365304104725,Hurdle-AR(1)-S-P,9 ≤ q_t < 11
7,1260,10.008907309533123,9.449694800253,7.8199413668036915,0.03015873015873016,3.0213714909214286,17.803551430122653,Hurdle-AR(1)-S-P,9 ≤ q_t < 11
8,1260,12.147601603683983,9.904003589894609,7.923602253991508,0.029365079365079365,3.2301782275186324,18.852780624825513,Hurdle-AR(1)-S-P,9 ≤ q_t < 11
9,1260,15.38072548012826,9.559863931113986,7.593273496514377,0.023809523809523808,3.1319305796682517,18.14576931001105,Hurdle-AR(1)-S-P,9 ≤ q_t < 11
10,1261,24.96159853038773,9.794364429068539,7.843577598813108,0.029341792228390166,3.1787579395285865,18.72484960395495,Hurdle-AR(1)-S-P,9 ≤ q_t < 11
1,5526,0.0,1.4172445161295146,0.0,0.6116539992761492,0.0,4.5346006680158375,SE-Hurdle-S,q_t = 0
2,5525,0.0,1.418004446614365,0.0,0.6068778280542987,0.0,4.319756600373141,SE-Hurdle-S,q_t = 0
3,5526,0.0,1.4098575840931638,0.0,0.5993485342019544,0.0,4.3343108434238875,SE-Hurdle-S,q_t = 0
4,5525,1.5721311916833012,1.9674092339732387,1.0861682152419418,0.4727601809954751,0.0,5.357272766461035,SE-Hurdle-S,q_t = 0
5,5525,3.24139344883671,3.061221591440621,2.360799047636391,0.34714932126696835,0.0,7.374457408254375,SE-Hurdle-S,q_t = 0
6,5526,7.375981856589208,4.421171661905045,3.6853188395698258,0.2376040535649656,0.0,9.639069403605147,SE-Hurdle-S,q_t = 0
1,3099,0.0,3.634383148274644,3.002095491942026,0.2468538238141336,0.0,7.957037076232965,SE-Hurdle-S,4 ≤ q_t < 6
2,3098,1.3631815075935223,4.395604830069679,3.789247608292621,0.16300839251129762,0.0,8.894875422869402,SE-Hurdle-S,4 ≤ q_t < 6
3,3098,2.8714565144940982,5.416505280370003,4.5224113717738765,0.10748870238863784,0.0,10.533529946785968,SE-Hurdle-S,4 ≤ q_t < 6
4,3099,3.7098699664657673,5.688587048035188,4.783099123776935,0.09648273636656986,1.0638335682188003,11.097547118233651,SE-Hurdle-S,4 ≤ q_t < 6
5,3098,4.550611840499941,6.0671227714336995,5.064625613246713,0.08134280180761781,1.5694756656202884,11.788191849694782,SE-Hurdle-S,4 ≤ q_t < 6
6,3098,5.465657055995258,6.603043999134476,5.542198851505843,0.06617172369270496,1.8238330685905928,12.409694041447045,SE-Hurdle-S,4 ≤ q_t < 6
7,3099,6.5348434318947595,6.562779985627814,5.620570945596306,0.08067118425298483,1.6461814745433465,12.55362687871554,SE-Hurdle-S,4 ≤ q_t < 6
8,3098,7.931172177890596,6.959261466528652,5.729452124209557,0.061652679147837314,2.2453445277971227,13.149463730224493,SE-Hurdle-S,4 ≤ q_t < 6
9,3098,10.115156624559704,7.402945312987606,6.259242388710589,0.057133634602969656,2.2750643204911385,13.539764172911852,SE-Hurdle-S,4 ≤ q_t < 6
10,3099,16.37444196417199,8.424115010148903,6.97988345622204,0.04065827686350436,2.7793628552807093,15.912520351111201,SE-Hurdle-S,4 ≤ q_t < 6
1,1328,0.9676142567033682,6.463020739997721,5.502769745317064,0.10015060240963855,0.8404980066504819,12.60756534417892,SE-Hurdle-S,9 ≤ q_t < 11
2,1328,3.5598066723245334,8.129130921550503,6.917493273006631,0.04969879518072289,2.6187641845590752,15.036203884875512,SE-Hurdle-S,9 ≤ q_t < 11
3,1327,4.817281713585939,8.739807125676556,7.352759292593396,0.0346646571213263,3.1194883666696342,16.31500497180115,SE-Hurdle-S,9 ≤ q_t < 11
4,1328,5.956223172566995,9.321229049944952,7.826409131254315,0.03313253012048193,3.095406414151032,16.555223189112453,SE-Hurdle-S,9 ≤ q_t < 11
5,1328,7.127006965656851,9.778322007499094,8.09540041561391,0.02710843373493976,3.555181002824596,18.224723957803917,SE-Hurdle-S,9 ≤ q_t < 11
6,1327,8.447046577785807,9.852818266593582,8.28004668216017,0.027128862094951016,3.385310088951223,18.407525174161115,SE-Hurdle-S,9 ≤ q_t < 11
7,1328,9.936839957865535,10.233433025379588,8.455090295439724,0.022590361445783132,3.879546605780206,19.136490333651373,SE-Hurdle-S,9 ≤ q_t < 11
8,1327,12.03128263008609,10.779301401685062,8.78288832997902,0.027882441597588545,3.8336666864772417,20.226415035366806,SE-Hurdle-S,9 ≤ q_t < 11
9,1328,15.268177296746824,11.393903784568266,9.431753397796005,0.01882530120481928,4.116079092800516,20.602479822798838,SE-Hurdle-S,9 ≤ q_t < 11
10,1328,24.535712682142908,12.841658674513964,10.78484476755223,0.009789156626506024,4.6221113018758935,23.48522779182028,SE-Hurdle-S,9 ≤ q_t < 11
