model,transition_year,target_year,raw_delta_mean,raw_delta_variance,log_delta_mean,log_delta_variance
SE-Hurdle-S,2,3,0.6383947378825805,52.23732178077378,0.131452613688296,1.5751689139541696
SE-Hurdle-S,3,4,0.5756134156601878,55.838591455200806,0.10872710446839436,1.492415905144535
SE-Hurdle-S,4,5,0.3112898512304554,61.65681352920849,0.05885835836365201,1.4348024840206308
SE-Hurdle-S,5,6,-0.8363637610129517,52.98592545150018,-0.08317600302544939,1.3278307299235648
SE-Hurdle-S,6,7,-0.08548322006978575,46.28883542227578,-0.003591728451986575,1.2242862964133185
SE-Hurdle-S,7,8,0.047726067545397106,49.250072198653186,0.0010442554273497454,1.2614697208428176
SE-Hurdle-S,8,9,-0.09676298410585196,44.74747213199018,-0.016297755447292055,1.0408784099330048
SE-Hurdle-S,9,10,0.027418402493623175,45.83305907710651,-0.01593128585182281,0.9506869681282842
SE-Hurdle-S,10,11,0.018034020300926833,47.145849869031636,-0.002337486785257097,0.9461643546183152
SE-Hurdle-S,11,12,-0.10656328961791885,43.783556741136636,-0.013314377193362432,0.9470829471683201
SE-Hurdle-S,12,13,0.15209912482045923,46.07296828792984,0.006909091365735756,0.9602246953542559
SE-Hurdle-S,13,14,-0.07801080699931298,49.521469686618985,-0.028196100189247595,0.9494273325959571
SE-Hurdle-S,14,15,0.0033468281893920186,46.992558852608454,0.00730093824994062,0.9398785438230319
SE-Hurdle-S,15,16,0.07020917480268218,50.59910737132012,-0.0029981859977637466,0.9679275942898091
SE-Hurdle-S,16,17,-0.08520152840924895,46.78182158406558,-0.008674724095541302,0.9392170710649476
SE-Hurdle-S,17,18,0.08205741402624263,44.52897477966035,0.0022868233445443435,0.9531902648736652
SE-Hurdle-S,18,19,-0.05490420874666719,49.56507680628783,-0.02294389528194402,0.943766344572378
SE-Hurdle-S,19,20,0.01465391122638418,51.21011580989693,0.010102968022949157,0.9614360852563485
AR(1)-S,0,1,2.313322143433939,88.96323602919334,0.2580902338639913,1.1532388824725912
AR(1)-S,1,2,1.1347110545278583,148.05547640284263,0.1385508735871863,0.9497058262545375
AR(1)-S,2,3,0.46519754597697893,187.90295211096188,0.06263651588899427,0.9656263076554297
AR(1)-S,3,4,0.44455242656382427,164.17916567449203,0.045489586424624306,0.9616991932630983
AR(1)-S,4,5,0.33583041828235793,185.48767820107528,0.03312670113297718,0.9374812315265499
AR(1)-S,5,6,-0.8298387386709415,178.52455575157225,-0.1077715199303286,0.8998427561033484
AR(1)-S,6,7,-0.39936941581221996,158.95894235595824,-0.048561407543707164,0.8938213847589719
AR(1)-S,7,8,-0.1967222197736836,149.36600504404547,-0.024342523981477827,0.8813189330354769
AR(1)-S,8,9,-0.1474778124484657,131.15502839058203,-0.06869298052512372,0.8188471798229285
AR(1)-S,9,10,-0.18888068525907828,139.23100235059061,-0.04971745365485972,0.8463032100968223
AR(1)-S,10,11,-0.06074068791462566,156.90266120394085,-0.01692695225740041,0.8517190310454711
AR(1)-S,11,12,-0.04020348046608029,154.58978637119418,0.0003741058180927414,0.8651959190493297
AR(1)-S,12,13,-0.20598234756968023,131.11290095580486,-0.024980483065218887,0.8347608961915084
AR(1)-S,13,14,0.014561415905913722,133.96217708460685,-0.0013360007523639844,0.8515934048571883
AR(1)-S,14,15,0.01678875741500652,147.14839166323958,-0.004532560275306453,0.8513398930799551
AR(1)-S,15,16,-0.08754525889734993,158.31595032666152,0.0068172430471966266,0.8462642635597284
AR(1)-S,16,17,-0.010227966318769632,161.7433576859914,-0.012168244456630874,0.84388651606329
AR(1)-S,17,18,-0.09009205143104132,130.53284041516474,-0.008979675460113428,0.8340545855089092
AR(1)-S,18,19,0.13696273437260956,121.26139787960322,0.01222026183688421,0.8468766435689391
AR(1)-S,19,20,-0.0817421021693961,127.92391223828679,0.0004443484982751059,0.8341938647400355
