model,stage,equation,n,intercept,x_prev,prev_active,history,restart,sigma,laplace_scale,bootstrap
bootstrap,8-20,positive,6008,0.03612839806894741,0.45576689741227155,,0.46824990648379117,0.5269691657769864,0.5817400753977221,0.46047210512256015,7
bootstrap,0,activity,591,0.18392125562613537,1.002413735029829,-0.35702602947821777,0.0,,,,8
bootstrap,0,positive,426,0.890276023768293,0.49854586088992087,,0.0,0.7523402001488043,0.5921000679523135,0.5045604623588805,8
bootstrap,1-4,activity,2364,-0.4995844393392772,0.7662580353302335,-0.04257500619436167,0.8510287500948989,,,,8
bootstrap,1-4,positive,1884,0.8081950657020243,0.3945987090472675,,0.23297967501154773,0.49891230294771605,0.5991542116209514,0.4894374185806743,8
bootstrap,5-7,activity,1773,-0.5728120401086687,1.1677718871034404,-1.2903251186779277,1.1566947111083117,,,,8
bootstrap,5-7,positive,1476,0.35014393969237745,0.3648225818370703,,0.4071719091889898,0.6188246338515878,0.591278254242422,0.4841149631549311,8
bootstrap,8-20,activity,7092,-1.096380795749979,0.9561473025702748,-0.6180263852738256,1.5389684393809713,,,,8
bootstrap,8-20,positive,5926,0.06956254835154041,0.42710693912306197,,0.46677118716078225,0.500693821815013,0.584708410408507,0.46349784619710444,8
bootstrap,0,activity,591,0.3429447157097467,1.2896866436555865,-0.8847285523661521,0.0,,,,9
bootstrap,0,positive,447,0.8104286982196641,0.5459008314929279,,0.0,0.7455995936973836,0.5696410520406383,0.48271690168454784,9
bootstrap,1-4,activity,2364,-0.5020703669601143,0.6975781651035791,0.15433230187548455,0.8651160698584641,,,,9
bootstrap,1-4,positive,1943,0.8365240888398473,0.36683899030035755,,0.2280900624852602,0.5710400677782067,0.5992804714859277,0.48894420810402933,9
bootstrap,5-7,activity,1773,-0.6173358676421505,1.363079697253578,-1.1099274108612427,1.0722770376312116,,,,9
bootstrap,5-7,positive,1527,0.3337071888917186,0.3965055652817481,,0.36160001445200135,0.6498474808773355,0.5990309472064261,0.4916641305893653,9
bootstrap,8-20,activity,7092,-1.0437779152529834,1.1931095141022479,-0.8605264821266172,1.4316173738649662,,,,9
bootstrap,8-20,positive,6013,0.04824966304866096,0.44282361502060236,,0.45779289284232116,0.5504052958324417,0.5909437831173827,0.47125504942603025,9
bootstrap,0,activity,591,0.12516306363760576,0.6729089652828475,0.36356598222281566,0.0,,,,10
bootstrap,0,positive,431,1.092799819108583,0.413830398042812,,0.0,0.516649846219003,0.5472891364126975,0.4626491877806405,10
bootstrap,1-4,activity,2364,-0.5549078708814854,0.8692684895675132,-0.3323556309854936,0.908554703646037,,,,10
bootstrap,1-4,positive,1872,0.8097560996938409,0.3675231485763242,,0.24575105467153316,0.5274359534523946,0.6122355615171097,0.5022714546629137,10
bootstrap,5-7,activity,1773,-0.6490150457148283,0.9131837423060929,-0.9818994170600124,1.4254731677266435,,,,10
bootstrap,5-7,positive,1501,0.45156597394359876,0.38372627321977437,,0.340058283171489,0.5479076731417751,0.6073147313553228,0.5000208573140196,10
bootstrap,8-20,activity,7092,-1.1886875374731927,1.110423233897021,-0.6417958635479011,1.515734556481265,,,,10
bootstrap,8-20,positive,5979,0.03134125400678156,0.43551573852618997,,0.4810532729775613,0.5261414443237278,0.5938016965635086,0.4721710446651003,10
bootstrap,0,activity,591,0.22690811937391242,1.549928652057384,-1.5058372988155886,0.0,,,,11
bootstrap,0,positive,418,1.1780509437714755,0.36736263463341634,,0.0,0.42649724592271565,0.558129274706366,0.46713558332721616,11
bootstrap,1-4,activity,2364,-0.4439991101567011,0.7799867797923076,-0.10467923472364406,0.7805807137698013,,,,11
bootstrap,1-4,positive,1873,0.693291112364399,0.4289142300166108,,0.2543497717004585,0.662678508215185,0.604848737193786,0.492975375584057,11
bootstrap,5-7,activity,1773,-0.6503396865699229,1.0944012783094559,-1.3939207110728602,1.3899452769861247,,,,11
bootstrap,5-7,positive,1484,0.4164921469833647,0.4005642166450101,,0.3536883296838525,0.5511394450052649,0.5755453903066452,0.46549828278140093,11
bootstrap,8-20,activity,7092,-1.0794592599758626,1.0819862603034216,-0.7249954785076105,1.5036035059161994,,,,11
bootstrap,8-20,positive,5963,0.026562354771624053,0.4556653001497119,,0.46156620593641906,0.5424893445825594,0.5919247862461356,0.4716018867491935,11
bootstrap,0,activity,591,0.051291896652385094,0.7569955404304892,0.046091303061059206,0.0,,,,12
bootstrap,0,positive,411,0.7209669222138615,0.5763448435957521,,0.0,0.945935491250537,0.5708350509826984,0.48202042755132063,12
bootstrap,1-4,activity,2364,-0.4361168327359459,0.8497807496768868,-0.21484562530605775,0.8144164121933132,,,,12
bootstrap,1-4,positive,1890,0.7727178235393859,0.4283905883601378,,0.2105583361656204,0.680331461202185,0.5972023768978036,0.4860324442119308,12
bootstrap,5-7,activity,1773,-0.6394157672566931,0.8886682605346965,-0.796073490904171,1.2742791788427723,,,,12
bootstrap,5-7,positive,1503,0.42452115031545434,0.3802981906851993,,0.3562611016657125,0.6077329673437042,0.5945711913345647,0.4802161510766094,12
