year,origin_state,destination_state,direct_probability,composed_probability,residual
10,zero,positive 3,0.07608695652173914,0.1364035903995007,-0.060316633877761566
10,zero,positive 4,0.06521739130434782,0.05952279032109047,0.005694600983257352
10,positive 1,zero,0.14960629921259844,0.20311634064782666,-0.05351004143522822
10,positive 1,positive 1,0.33858267716535434,0.27099661477406606,0.06758606239128828
10,positive 1,positive 2,0.36220472440944884,0.2659041842762523,0.09630054013319655
10,positive 1,positive 3,0.11023622047244094,0.17353058694333362,-0.06329436647089268
10,positive 1,positive 4,0.03937007874015748,0.0864522733585214,-0.04708219461836392
10,positive 2,zero,0.14545454545454545,0.1546614603471078,-0.00920691489256234
10,positive 2,positive 1,0.23636363636363636,0.2384984479685291,-0.0021348116048927335
10,positive 2,positive 2,0.2727272727272727,0.2871132933403921,-0.014386020613119388
10,positive 2,positive 3,0.21818181818181817,0.19400177137798183,0.02418004680383634
10,positive 2,positive 4,0.12727272727272726,0.12572502696598914,0.00154770030673812
10,positive 3,zero,0.0625,0.08588031074151017,-0.023380310741510174
10,positive 3,positive 1,0.1953125,0.17295909473703275,0.022353405262967252
10,positive 3,positive 2,0.25,0.2675849621515736,-0.017584962151573624
10,positive 3,positive 3,0.2890625,0.21301262114446723,0.07604987885553277
10,positive 3,positive 4,0.203125,0.2605630112254162,-0.0574380112254162
10,positive 4,zero,0.007462686567164179,0.030900468865513432,-0.023437782298349252
10,positive 4,positive 1,0.03731343283582089,0.09693869827910577,-0.05962526544328488
10,positive 4,positive 2,0.19402985074626866,0.21418082573457387,-0.020150974988305204
10,positive 4,positive 3,0.22388059701492538,0.2149751849505429,0.008905412064382473
10,positive 4,positive 4,0.5373134328358209,0.443004822170264,0.0943086106655569
11,zero,zero,0.5,0.3798291000973436,0.12017089990265639
11,zero,positive 1,0.3541666666666667,0.2778917995774801,0.07627486708918657
11,zero,positive 2,0.10416666666666667,0.17884379603590608,-0.07467712936923941
11,zero,positive 3,0.03125,0.12076040961545731,-0.08951040961545731
11,zero,positive 4,0.010416666666666666,0.04267489467381285,-0.032258228007146186
11,positive 1,zero,0.21551724137931033,0.21533354149031458,0.00018369988899574752
11,positive 1,positive 1,0.35344827586206895,0.2659965030569903,0.08745177280507865
11,positive 1,positive 2,0.25,0.2109810787215729,0.0390189212784271
11,positive 1,positive 3,0.16379310344827586,0.187776301091994,-0.023983197643718146
11,positive 1,positive 4,0.017241379310344827,0.11991257563912817,-0.10267119632878335
11,positive 2,zero,0.16129032258064516,0.18730887372704838,-0.026018551146403224
11,positive 2,positive 1,0.22580645161290322,0.2576225840879657,-0.03181613247506246
11,positive 2,positive 2,0.28225806451612906,0.23031097193911904,0.05194709257701002
11,positive 2,positive 3,0.22580645161290322,0.19681447878979347,0.028991972823109752
11,positive 2,positive 4,0.10483870967741936,0.12794309145607335,-0.023104381778653996
11,positive 3,zero,0.07352941176470588,0.11105843846246262,-0.037529026697756734
11,positive 3,positive 1,0.15441176470588236,0.19651391560090128,-0.042102150895018925
11,positive 3,positive 2,0.20588235294117646,0.2065615208408198,-0.0006791678996433403
11,positive 3,positive 3,0.3382352941176471,0.24475162424199481,0.09348366987565226
11,positive 3,positive 4,0.22794117647058823,0.24111450085382144,-0.01317332438323321
11,positive 4,zero,0.008403361344537815,0.03552493785487061,-0.027121576510332798
11,positive 4,positive 1,0.025210084033613446,0.09072016754051015,-0.06551008350689672
11,positive 4,positive 2,0.1092436974789916,0.14038876549620422,-0.031145068017212618
11,positive 4,positive 3,0.25210084033613445,0.2935607855747824,-0.04145994523864793
11,positive 4,positive 4,0.6050420168067226,0.43980534353363265,0.16523667327309
12,zero,zero,0.47619047619047616,0.33253795004601966,0.1436525261444565
12,zero,positive 1,0.2976190476190476,0.31245163274800875,-0.014832585128961129
12,zero,positive 2,0.14285714285714285,0.1979244083978275,-0.05506726554068464
12,zero,positive 3,0.05952380952380952,0.10348365884508107,-0.043959849321271546
12,zero,positive 4,0.023809523809523808,0.053602349963063026,-0.029792826153539217
12,positive 1,zero,0.27419354838709675,0.2390639071715611,0.03512964121553566
12,positive 1,positive 1,0.3870967741935484,0.30421562984343653,0.08288114435011185
12,positive 1,positive 2,0.1935483870967742,0.22267511190415865,-0.029126724807384458
12,positive 1,positive 3,0.12096774193548387,0.1401886022759083,-0.019220860340424417
12,positive 1,positive 4,0.024193548387096774,0.09385674880493529,-0.06966320041783852
12,positive 2,zero,0.10135135135135136,0.1456468009824032,-0.04429544963105185
12,positive 2,positive 1,0.24324324324324326,0.2568706200787277,-0.013627376835484428
12,positive 2,positive 2,0.27702702702702703,0.2136215727220017,0.06340545430502534
12,positive 2,positive 3,0.21621621621621623,0.2078671631921929,0.008349053024023334
12,positive 2,positive 4,0.16216216216216217,0.17599384302467452,-0.013831680862512352
12,positive 3,zero,0.044642857142857144,0.09718169773461574,-0.0525388405917586
12,positive 3,positive 1,0.19642857142857142,0.2046648474653338,-0.008236276036762386
