q_bin,dropout_count,dropout_probability,n,q_mean,low,high,model,stage
1,336,0.20550458715596331,1635,2.8341092997651485,0.1866193498171192,0.22577047480046442,SE-Hurdle-S,1-4
2,818,0.17709460922277548,4619,3.8401106664998856,0.16635494900988,0.18837094079780883,SE-Hurdle-S,1-4
3,509,0.13537234042553192,3760,5.100492670665636,0.12480817269484454,0.14668082939280977,SE-Hurdle-S,1-4
4,433,0.11412756984712705,3794,6.359314130863995,0.10439762592044341,0.12463815061115285,SE-Hurdle-S,1-4
5,294,0.09147479775980087,3214,7.765706777014453,0.08198980893497285,0.10193521708246689,SE-Hurdle-S,1-4
6,243,0.0813525276196853,2987,9.229925747711142,0.07207792418850231,0.09170259832395705,SE-Hurdle-S,1-4
7,169,0.060078208318521155,2813,11.390046843659675,0.051882039201444706,0.06947430543646467,SE-Hurdle-S,1-4
8,95,0.035876132930513595,2648,14.439485826507255,0.029437960678307007,0.04365901464631268,SE-Hurdle-S,1-4
9,67,0.024695908588278657,2713,23.009377096803295,0.01949353319722484,0.031242439043482895,SE-Hurdle-S,1-4
0,228,0.031435268164897286,7253,1.9967827462382113,0.027660940748522662,0.03570568971506636,AR(1)-S,5-7
1,26,0.0071018847309478285,3661,2.6677592895199953,0.00485115728919976,0.010385954186504948,AR(1)-S,5-7
2,16,0.005747126436781609,2784,3.956574753864151,0.003540675376913902,0.009315722203206863,AR(1)-S,5-7
3,6,0.002442002442002442,2457,5.071887945687309,0.0011196420547038904,0.005317830393746266,AR(1)-S,5-7
4,2,0.0009315323707498836,2147,6.17130603859902,0.00025549160833177303,0.003390337075658717,AR(1)-S,5-7
5,5,0.002288329519450801,2185,7.7000910141924885,0.0009778069969988545,0.0053459032248828935,AR(1)-S,5-7
6,1,0.0006064281382656155,1649,9.371178815775814,0.00010705472532980824,0.003427222243497695,AR(1)-S,5-7
7,4,0.0021798365122615805,1835,11.242247075594246,0.0008479985783410885,0.005591707810724723,AR(1)-S,5-7
8,0,0.0,1848,14.595213116289328,0.0,0.002074475484296281,AR(1)-S,5-7
9,0,0.0,3904,24.205595642903997,0.0,0.0009830490570549224,AR(1)-S,5-7
0,34,0.2222222222222222,153,1.9967827462382113,0.16360628328727117,0.29444566211496903,Empirical,5-7
1,42,0.2781456953642384,151,2.6677592895199953,0.21285694664438737,0.3544427970937294,Empirical,5-7
2,19,0.12337662337662338,154,3.956574753864151,0.0804245832389233,0.18466142703973576,Empirical,5-7
3,18,0.11688311688311688,154,5.071887945687309,0.07522536588337418,0.17718971353802038,Empirical,5-7
4,15,0.11029411764705882,136,6.17130603859902,0.06798721903592,0.17401230042037907,Empirical,5-7
5,13,0.0783132530120482,166,7.7000910141924885,0.0463350111571394,0.1293675257949383,Empirical,5-7
6,4,0.030303030303030304,132,9.371178815775814,0.011845868852119364,0.07532624926191933,Empirical,5-7
7,8,0.05228758169934641,153,11.242247075594246,0.02672972900320813,0.09977752417452024,Empirical,5-7
8,2,0.013793103448275862,145,14.595213116289328,0.003790673072295709,0.048893522743927706,Empirical,5-7
9,0,0.0,150,24.205595642903997,0.0,0.02497113914571871,Empirical,5-7
0,1732,0.2238593770195166,7737,1.9967827462382113,0.21470959713484036,0.23328324126660685,GRW-Y,5-7
1,48,0.02745995423340961,1748,2.6677592895199953,0.02077368758115137,0.03621867976530278,GRW-Y,5-7
2,20,0.01662510390689942,1203,3.956574753864151,0.010787565361976843,0.025539985826182394,GRW-Y,5-7
3,5,0.004878048780487805,1025,5.071887945687309,0.0020853260212119447,0.01136825128359377,GRW-Y,5-7
4,2,0.002285714285714286,875,6.17130603859902,0.0006270361289061671,0.008295618419990929,GRW-Y,5-7
5,1,0.0010080645161290322,992,7.7000910141924885,0.00017796573087439918,0.005688027415023502,GRW-Y,5-7
