rep,model,annual_ks_mean,cum_total_ks,cum_y5_ks,zero_years_ks,terminal_rank_abs_error,rank_curve_rmse,dropout_rmse,restart_rmse,increment_ks,gini_abs_error,top1_abs_error
14,SE-Hurdle-T5,0.06171944243010233,0.077834179357022,0.04230118443316413,0.03722504230118443,0.05176209563462128,0.0655534812377704,0.023917258448327205,0.050073638418038635,0.054060913705583746,0.019386707564334915,0.006203989280986852
14,Hurdle-AR(5)-S-P,0.10700185319474659,0.10490693739424704,0.05414551607445008,0.19458544839255498,0.30822967442963123,0.2655686825249961,0.02747959495454281,0.04397640041438512,0.06379018612521153,0.054134154341863194,0.004406360505343612
15,SE-Hurdle-S,0.060430263475948744,0.06091370558375635,0.038917089678511,0.04568527918781726,0.07107543986310047,0.07620264910415218,0.015650035472846702,0.07888496455983073,0.06032148900169204,0.03130439866971707,0.008854119388612192
15,SE-Hurdle-T5,0.07332205301748448,0.08967851099830795,0.05583756345177665,0.04568527918781726,0.061153461041274365,0.05790757981023536,0.019156705219686012,0.06618442683344343,0.055837563451776706,0.04894523513890492,0.00679056960199164
15,Hurdle-AR(5)-S-P,0.08540810571267422,0.043993231810490696,0.043993231810490696,0.13874788494077833,0.13234495007187985,0.19123515327340562,0.029502167457456575,0.044651798643000624,0.0553299492385787,0.02182622088640601,0.004817157430789476
16,SE-Hurdle-S,0.06784304246233182,0.05922165820642978,0.04230118443316413,0.04230118443316413,0.00609023695855937,0.06592993656511963,0.014810350144459033,0.06467835681428008,0.04932318104906941,0.028883739162776367,0.0006583108654049721
16,SE-Hurdle-T5,0.0685682056240432,0.04230118443316413,0.049069373942470386,0.038917089678511,0.07113017026091728,0.0805080873662499,0.019399764989555247,0.0482134019749681,0.049576988155668356,0.03981416637467039,0.009916413644123802
16,Hurdle-AR(5)-S-P,0.09523809523809523,0.06937394247038917,0.06429780033840947,0.1844331641285956,0.19795271242426457,0.20450813716331182,0.03458436159865942,0.07130929812917577,0.05600676818950928,0.03679151790208518,0.008754835547735255
17,SE-Hurdle-S,0.0628474740149867,0.05414551607445008,0.050761421319796954,0.032148900169204735,0.007476209030720826,0.05969816613392506,0.020553786386436967,0.06942683134699913,0.06226734348561758,0.01683193343892847,0.00443358633137466
17,SE-Hurdle-T5,0.06365321086133269,0.0727580372250423,0.028764805414551606,0.04568527918781726,0.1585407017240819,0.11808603066766983,0.016367036997861795,0.059729926900384485,0.05617597292724197,0.04007953774762191,0.01064420772325795
