model,stage,equation,n,intercept,x_prev,prev_active,history,restart,sigma,laplace_scale,bootstrap,rho,max_lag
SE-Hurdle-T5,5-7,positive,1497,0.3525965766320247,0.3887800569275672,,0.3808106669095543,0.5962366946240252,0.5971010994735083,0.4893931390265885,2,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,activity,7092,-0.9668396492196236,1.1846938257125723,-0.642229108194463,1.2740869272026405,,,,2,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,positive,6001,0.1055907493325201,0.4628074431114044,,0.42011866230101574,0.5396238124926557,0.5843582803800202,0.4663755193279574,2,0.6533333333333333,5.0
SE-Hurdle-S,0,activity,591,0.22533897120351432,1.5058477853345722,-0.950948282563041,0.0,,,,3,0.6696666666666666,
SE-Hurdle-S,0,positive,451,0.7439655835045804,0.569887966853019,,0.0,0.8909913323305074,0.580554199280185,0.4859596382194748,3,0.6696666666666666,
SE-Hurdle-S,1-4,activity,2364,-0.3865043620811459,0.9330119161808558,-0.22118592004402712,0.7145291222753795,,,,3,0.6696666666666666,
SE-Hurdle-S,1-4,positive,1943,0.7813826209189074,0.40050384333461175,,0.22157671369860876,0.5758174813051005,0.6166135350796764,0.5055945783816971,3,0.6696666666666666,
SE-Hurdle-S,5-7,activity,1773,-0.6304147812063003,0.911407810666054,-0.7937381981856664,1.2227715310929987,,,,3,0.6696666666666666,
SE-Hurdle-S,5-7,positive,1511,0.3957104377693462,0.3602491656007846,,0.3971854388650144,0.46330631140021505,0.5953011088184484,0.4810810360434555,3,0.6696666666666666,
SE-Hurdle-S,8-20,activity,7092,-1.2059651425109894,0.9347426442908581,-0.5264974674927195,1.607442513274205,,,,3,0.6696666666666666,
SE-Hurdle-S,8-20,positive,6010,0.06230900235930514,0.44071614666435394,,0.45659683284944236,0.5316121755433867,0.5818980792169042,0.46256316771165745,3,0.6696666666666666,
SE-Hurdle-T5,0,activity,591,0.22533897120351432,1.5058477853345722,-0.950948282563041,0.0,,,,3,0.6533333333333333,5.0
SE-Hurdle-T5,0,positive,451,0.7439655835045804,0.569887966853019,,0.0,0.8909913323305074,0.580554199280185,0.4859596382194748,3,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,activity,2364,-0.38652966401719446,0.9326162789752583,-0.22143659365924273,0.7142122831202232,,,,3,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,positive,1943,0.7813837326187612,0.40039616266225747,,0.22135670862498746,0.5758102598257053,0.6166103833043849,0.5055974795853311,3,0.6533333333333333,5.0
SE-Hurdle-T5,5-7,activity,1773,-0.6168577666401598,0.9127212390246738,-0.7854488150293902,1.1942219527904523,,,,3,0.6533333333333333,5.0
SE-Hurdle-T5,5-7,positive,1511,0.40099311035992147,0.36506254132856447,,0.3843879738909167,0.46784507119961183,0.5963551149302245,0.4825530224600693,3,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,activity,7092,-1.083112472836966,0.951304137073218,-0.5170290716421208,1.507835995173771,,,,3,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,positive,6010,0.09402930134423149,0.4449516348136794,,0.433973172598399,0.5327963139264348,0.5826678643501906,0.46318137744304266,3,0.6533333333333333,5.0
SE-Hurdle-S,0,activity,591,0.02429269384438193,1.3109560135862826,-0.7312144294262667,0.0,,,,4,0.6696666666666666,
SE-Hurdle-S,0,positive,413,0.7907928597163383,0.5650339204103144,,0.0,0.7986097571025266,0.550383994425162,0.4664644474801285,4,0.6696666666666666,
SE-Hurdle-S,1-4,activity,2364,-0.37575852568543855,0.7628522780478162,-0.13389405188782438,0.8109260093276758,,,,4,0.6696666666666666,
SE-Hurdle-S,1-4,positive,1882,0.8463186805711524,0.3686909877746677,,0.2306392718289571,0.49789814321946996,0.6161285986906015,0.5028876269392154,4,0.6696666666666666,
SE-Hurdle-S,5-7,activity,1773,-0.8391508489659487,1.2372668903357602,-1.1353316377315406,1.2693758788155274,,,,4,0.6696666666666666,
SE-Hurdle-S,5-7,positive,1485,0.38765761461767256,0.3883288174565031,,0.3659661495128027,0.633509672226822,0.6017860002067629,0.490977854845441,4,0.6696666666666666,
SE-Hurdle-S,8-20,activity,7092,-1.1985925600616205,1.0389465998418843,-0.6797623275705692,1.5685213010947676,,,,4,0.6696666666666666,
SE-Hurdle-S,8-20,positive,5889,-0.0011779830168915373,0.4701919091328368,,0.4612607489717714,0.6109005627929254,0.5811814428301088,0.4615310757831487,4,0.6696666666666666,
SE-Hurdle-T5,0,activity,591,0.02429269384438193,1.3109560135862826,-0.7312144294262667,0.0,,,,4,0.6533333333333333,5.0
SE-Hurdle-T5,0,positive,413,0.7907928597163383,0.5650339204103144,,0.0,0.7986097571025266,0.550383994425162,0.4664644474801285,4,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,activity,2364,-0.3759436325058514,0.7630348805837247,-0.1343354540628966,0.8096864643723862,,,,4,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,positive,1882,0.8461101659869454,0.3686259729602231,,0.23045624495197953,0.49784619571846034,0.6161138165463361,0.502857598302146,4,0.6533333333333333,5.0
SE-Hurdle-T5,5-7,activity,1773,-0.8188664030794097,1.2439401947055726,-1.136070887352175,1.228476579604419,,,,4,0.6533333333333333,5.0
SE-Hurdle-T5,5-7,positive,1485,0.38817928533861534,0.391095196293279,,0.35717257568081195,0.6368932395919131,0.6019767520406145,0.4910151636398428,4,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,activity,7092,-1.0895240115664049,1.0616349857713725,-0.6702222542668657,1.46646408908039,,,,4,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,positive,5889,0.032009430511048875,0.47747884194920276,,0.433320546429227,0.6152919977935905,0.5827284258010547,0.4635668227525047,4,0.6533333333333333,5.0
SE-Hurdle-S,0,activity,591,0.13786363786124944,1.2637093285650842,-0.7803103284140737,0.0,,,,5,0.6696666666666666,
SE-Hurdle-S,0,positive,419,0.8744975688485185,0.5254219097213358,,0.0,0.7601742632658064,0.5655794594803759,0.47929836328249953,5,0.6696666666666666,
SE-Hurdle-S,1-4,activity,2364,-0.3599468650423554,0.758413357096087,-0.16385993407857008,0.9413389322163662,,,,5,0.6696666666666666,
SE-Hurdle-S,1-4,positive,1924,0.8505142316348642,0.34414992767554947,,0.2497881777263635,0.5077031968153712,0.608594782599202,0.49965489725573464,5,0.6696666666666666,
SE-Hurdle-S,5-7,activity,1773,-0.8681231013806541,1.0942850426357928,-0.8891510166754184,1.2853989173276663,,,,5,0.6696666666666666,
SE-Hurdle-S,5-7,positive,1496,0.46069072482268525,0.3230148849652103,,0.40048736250988104,0.45378227124873804,0.5896246841746627,0.4780154657783429,5,0.6696666666666666,
SE-Hurdle-S,8-20,activity,7092,-1.1895053406152483,0.9716715954958304,-0.5287351560483544,1.5581165790738771,,,,5,0.6696666666666666,
SE-Hurdle-S,8-20,positive,5954,0.06357567240636097,0.444697037961569,,0.4488999811447893,0.5347932203345362,0.5928475362824677,0.4741457851637151,5,0.6696666666666666,
SE-Hurdle-T5,0,activity,591,0.13786363786124944,1.2637093285650842,-0.7803103284140737,0.0,,,,5,0.6533333333333333,5.0
SE-Hurdle-T5,0,positive,419,0.8744975688485185,0.5254219097213358,,0.0,0.7601742632658064,0.5655794594803759,0.47929836328249953,5,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,activity,2364,-0.36068601639315223,0.7587730016579086,-0.1647293849044286,0.9402899117918712,,,,5,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,positive,1924,0.8499347445918266,0.34440436470585706,,0.24934963146688116,0.5081525425457449,0.6086262825654799,0.4996690770754205,5,0.6533333333333333,5.0
SE-Hurdle-T5,5-7,activity,1773,-0.8525991903859069,1.0918162463226986,-0.8747980234753773,1.2491241921705512,,,,5,0.6533333333333333,5.0
SE-Hurdle-T5,5-7,positive,1496,0.46095955943374645,0.3252879385641625,,0.39193886330787725,0.45709095504306324,0.5901755346575074,0.47853468479566436,5,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,activity,7092,-1.066790979898903,0.9930795230773358,-0.5279703319002785,1.454807049639371,,,,5,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,positive,5954,0.09457385462891899,0.4502984772745895,,0.4243710178379507,0.5386428886598007,0.5938409389882963,0.47567222141236576,5,0.6533333333333333,5.0
SE-Hurdle-S,0,activity,591,0.18384913778328438,0.6074835440318433,0.3130132292111565,0.0,,,,6,0.6696666666666666,
SE-Hurdle-S,0,positive,424,0.6545021306740296,0.6137237542537577,,0.0,0.9271488401657341,0.5767664581148638,0.49821467438451444,6,0.6696666666666666,
SE-Hurdle-S,1-4,activity,2364,-0.3047320051400493,0.6776419578747442,0.1186037762675418,0.7097161490481931,,,,6,0.6696666666666666,
SE-Hurdle-S,1-4,positive,1907,0.8685272756701952,0.32439315739646335,,0.26782618128489005,0.4413782207746037,0.6064283877484037,0.49713644927410167,6,0.6696666666666666,
SE-Hurdle-S,5-7,activity,1773,-0.5532884878170239,1.3066275241871634,-1.4635191547899016,1.2482753638722743,,,,6,0.6696666666666666,
SE-Hurdle-S,5-7,positive,1515,0.42634801026729907,0.36954289613986707,,0.3715941352314814,0.584192861034548,0.6007319276909558,0.49372160037646623,6,0.6696666666666666,
