model,stage,zero_run,restart_probability,n,se,low,high
SE-Hurdle-S,8-20,5,0.2988826815642458,716,0.017107604904425918,0.265351775951571,0.3324135871769206
SE-Hurdle-S,8-20,6,0.25323974082073436,1852,0.010104993486045098,0.23343395358808597,0.2730455280533828
SE-Hurdle-T5,0,1,0.5432225063938619,3910,0.007966230114399044,0.5276086953696398,0.558836317418084
SE-Hurdle-T5,1-4,1,0.655080923321836,3769,0.007742710386819296,0.6399052109636701,0.6702566356800018
SE-Hurdle-T5,1-4,2,0.447246891651865,2815,0.00937130478146687,0.4288791342801899,0.46561464902354005
SE-Hurdle-T5,1-4,3,0.4004282655246253,1401,0.01309073015745739,0.3747704344160088,0.42608609663324176
SE-Hurdle-T5,1-4,4,0.4156545209176788,741,0.018104727581698708,0.3801692548575493,0.45113978697780827
SE-Hurdle-T5,1-4,5,0.3401015228426396,394,0.02386683003980901,0.29332253596461394,0.3868805097206653
SE-Hurdle-T5,5-7,1,0.7169089517980107,2614,0.008811346466958588,0.6996387127227719,0.7341791908732496
SE-Hurdle-T5,5-7,2,0.5679172056921087,773,0.017817068620973278,0.5329957511950011,0.6028386601892163
SE-Hurdle-T5,5-7,3,0.4297520661157025,363,0.02598289476452379,0.37882559237723584,0.48067853985416914
SE-Hurdle-T5,5-7,4,0.41472868217054265,258,0.030672615008439062,0.3546103567540021,0.4748470075870832
SE-Hurdle-T5,5-7,5,0.39215686274509803,153,0.03947116575997109,0.3147933778555547,0.46952034763464134
SE-Hurdle-T5,5-7,6,0.31230283911671924,634,0.018405259834736305,0.27622852984063606,0.3483771483928024
SE-Hurdle-T5,8-20,1,0.6397989949748744,9950,0.004812632466403904,0.6303662353407227,0.649231754609026
SE-Hurdle-T5,8-20,2,0.4477011494252874,3480,0.008429300809358081,0.43117971983894554,0.4642225790116292
SE-Hurdle-T5,8-20,3,0.3729903536977492,1866,0.011195154501957986,0.35104785087391155,0.39493285652158683
SE-Hurdle-T5,8-20,4,0.3040358744394619,1115,0.013775850107428076,0.2770352082289029,0.3310365406500209
SE-Hurdle-T5,8-20,5,0.27604871447902574,739,0.016444675844106225,0.24381714982457753,0.30828027913347394
SE-Hurdle-T5,8-20,6,0.257128045619492,1929,0.009950974010679533,0.2376241365585601,0.2766319546804239
